,session,trial_number,emotion_label,stim_start,stim_stop
0,1,0,fear,1760639273.364922,1760639426.46186
1,1,1,happy,1760639436.839244,1760639647.78104
2,1,2,anger,1760639658.757831,1760639756.687197
3,1,3,disgust,1760639805.385509,1760639878.374311
4,1,4,happy,1760639930.291476,1760640124.633554
5,1,5,happy,1760640243.165892,1760640478.948021
6,1,6,neutral,1760640492.844625,1760640619.902983
7,1,7,disgust,1760640636.036334,1760640788.019066
8,1,8,fear,1760640832.562474,1760641001.028501
9,1,9,disgust,1760641024.902123,1760641190.598339
10,1,10,sadness,1760641199.673585,1760641295.017832
11,1,11,neutral,1760641338.860528,1760641439.776631
12,1,12,disgust,1760641503.72282,1760641611.462126
13,1,13,fear,1760641687.136738,1760641919.498101
14,1,14,neutral,1760641964.308793,1760642088.130384
15,1,15,anger,1760642186.744853,1760642305.728152
16,1,16,sadness,1760642499.68549,1760642609.160284
17,1,17,neutral,1760642649.29998,1760642734.917057
18,1,18,sadness,1760642741.056345,1760643003.047274
19,1,19,happy,1760643011.872639,1760643080.857777
20,1,20,anger,1760643509.011804,1760643720.686506
21,1,21,anger,1760643727.559844,1760643928.374103
22,1,22,fear,1760644221.761847,1760644449.069556
23,1,23,sadness,1760644455.392532,1760644569.371606
24,3,0,sadness,1760639283.443499,1760639455.084568
25,3,1,fear,1760639466.027254,1760639641.80102
26,3,2,neutral,1760639650.676132,1760639776.30014
27,3,3,sadness,1760639830.636532,1760639963.133656
28,3,4,neutral,1760639970.707943,1760640133.133302
29,3,5,disgust,1760640242.574435,1760640334.681911
30,3,6,anger,1760640340.470916,1760640421.901646
31,3,7,fear,1760640429.174451,1760640526.670865
32,3,8,neutral,1760640541.318531,1760640600.593776
33,3,9,anger,1760640631.807296,1760640703.711778
34,3,10,disgust,1760640714.772717,1760640821.427205
35,3,11,disgust,1760640830.052281,1760640967.537585
36,3,12,happy,1760641029.081567,1760641189.222225
37,3,13,disgust,1760641203.36965,1760641414.994427
38,3,14,fear,1760641420.699582,1760641555.115132
